Row Labels,Count of church,Address,Change to:,Flag
"173 Airbase Bd, Vietnam",1,,"173 Airbase Bd, Vietnam",
"19th Support Command, San Francisco",1,,"19th Support Command, San Francisco",
"Advanced Studies, California",1,,"Advanced Studies, California",
"American College, Louvain",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",
"American College, Louvain Belgium",1,"Naamsestraat 100, 3000 Leuven, Belgium","American College, Leuven Belgium",
"Annunciation, Bellmawr",2,"601 W Browning Rd, Bellmawr, NJ 08031","Annunciation, Bellmawr",
"APO, NY",1,,"APO, NY",
"Archbishop Theodore McCarrick has been included on the list based on the findings of the Archdiocese of New York that allegations of abuse of a minor against then Father McCarrick were credible and substantiated.,",1,,"Archbishop Theodore McCarrick has been included on the list based on the findings of the Archdiocese of New York that allegations of abuse of a minor against then Father McCarrick were credible and substantiated.,",FLAG
"Archdiocesan Director CYO,",1,,"Archdiocesan Director CYO,",
Army Chaplain,1,,Army Chaplain,
"Assumption, Atco",6,"318 Carl Hasselhan Dr, Atco, NJ 08004","Assumption, Atco",
"Assumption, Emerson",3,"29 Jefferson Ave, Emerson, NJ 07630","Assumption, Emerson",
"Assumption, Jersey City",1,,"Assumption, Jersey City",FLAG -- not sure if it's the same as 'Assumption and All Saints'
"Assumption, Pomona",2,"146 S Pitney Rd, Galloway, NJ 08205","Assumption, Pomona, Galloway",
"Assumption, Roselle Park",3,"113 Chiego Pl, Roselle Park, NJ 07204","Assumption, Roselle Park",
"Assumption, Wildwood Crest",3,"7100 Seaview Ave, Wildwood Crest, NJ 08260","Assumption, Wildwood Crest",
"Bishop Eustace Preparatory School, Cherry Hill",1,"5552 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",
"Bishop Eustace Queen of Apostles Field, NJ",1,"5553 Marlton Pike W, Pennsauken Township, NJ 08109","Bishop Eustace Preparatory School, Pennsauken",
Blessed Sacrament,1,,Blessed Sacrament,FLAG -- no specific location
"Blessed Sacrament, East Orange",1,,"Blessed Sacrament, East Orange",FLAG -- not sure if it's the same as Our Lady of the Most Blessed Sacrament
"Blessed Sacrament, Elizabeth",1,"1096 North Ave, Elizabeth, NJ 07201","Blessed Sacrament, Elizabeth",
"Blessed Sacrament, Margate",4,"11 N Kenyon Ave, Margate City, NJ 08402","Blessed Sacrament, Margate",
"Blessed Sacrament/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108","Blessed Sacrament/St. Charles Borromeo, Newark",
"Blessed Sacrement, Margate",1,"11 N Kenyon Ave, Margate City, NJ 08402","Blessed Sacrament, Margate",
"Blessed Sacrement/St. Charles Borromeo, Newark",1,"19 Van Ness Pl, Newark, NJ 07108","Blessed Sacrament/St. Charles Borromeo, Newark",
"Blessed Teresa of Calcutta, Collingswood",1,"809 Park Ave, Collingswood, NJ 08108","Blessed Teresa of Calcutta, Collingswood",
"Boystown, Kearny",1,"499 Belgrove Dr, Kearny, NJ 07032","Boystown, Kearny",
"Camden Catholic High School, Camden",2,"300 Cuthbert Blvd, Cherry Hill, NJ 08002","Camden Catholic High School, Cherry Hill",
"Camden Catholic High School, Cherry Hill",8,"300 Cuthbert Blvd, Cherry Hill, NJ 08002","Camden Catholic High School, Cherry Hill",
"Camden Catholic High Scool, Cherry Hill",1,"300 Cuthbert Blvd, Cherry Hill, NJ 08002","Camden Catholic High School, Cherry Hill",
"Campus Minister Camden County College, Blackwood",1,"200 College Dr, Blackwood, NJ 08012-0200","Campus Minister Camden County College, Blackwood",
"Campus Minister Gloucester County College, Sewell",1,"1400 Tanyard Road, Sewell, NJ 08080","Campus Minister Gloucester County College, Sewell",
"Campus Minister Rutgers University, Camden",1,"303 Cooper St, Camden, NJ 08102","Campus Minister Rutgers University, Camden",
Campus Minister Stockton/Atlantic County Community College,1,,Campus Minister Stockton/Atlantic County Community College,FLAG -- college has three locations
"Carmelite Chapel Of St. Therese, Paramus",1,"680 Bergen Town Center G, Paramus, NJ 07652","Carmelite Chapel Of St. Therese, Paramus",
"Cathedral Academy, Camden",1,,"Cathedral Academy, Camden",
"Cathedral of St. Francis of Assisi, Metuchen",2,,"Cathedral of St. Francis of Assisi, Metuchen",
"Catholic Community of the Holy Spirit, Mullica Hill",1,,"Catholic Community of the Holy Spirit, Mullica Hill",
"Catholic Community Services, Newark",2,,"Catholic Community Services, Newark",
Catholic University,2,,Catholic University,
"Center for Hope Hospice, Union",1,,"Center for Hope Hospice, Union",
"Chaplain - Bergen Regional Medical Center, Paramus",2,,"Chaplain - Bergen Regional Medical Center, Paramus",
Chaplain - Bridgeton/Millville Hospitals,1,,Chaplain - Bridgeton/Millville Hospitals,
"Chaplain - Caldwell College, Caldwell",1,,"Chaplain - Caldwell College, Caldwell",
"Chaplain - Clara Maas Hospital, Belleville",1,,"Chaplain - Clara Maas Hospital, Belleville",
"Chaplain - Columbus Hospital, Newark One",1,,"Chaplain - Columbus Hospital, Newark One",
"Chaplain - Essex County Prison, Newark",1,,"Chaplain - Essex County Prison, Newark",
"Chaplain - Hudson Catholic Regional HS, Jersey City",1,,"Chaplain - Hudson Catholic Regional HS, Jersey City",
"Chaplain - Mountainside Hospital, Montclair",1,,"Chaplain - Mountainside Hospital, Montclair",
Chaplain - Overlook Hospital,1,,Chaplain - Overlook Hospital,
"Chaplain - St. Francis Community Center, Jersey City",1,,"Chaplain - St. Francis Community Center, Jersey City",
"Chaplain - St. Francis Hospital, Jersey City",1,,"Chaplain - St. Francis Hospital, Jersey City",
"Chaplain - St. Mary Hospital, Hoboken",1,,"Chaplain - St. Mary Hospital, Hoboken",
"Chaplain - St. Michael Medical Center, Newark",3,,"Chaplain - St. Michael Medical Center, Newark",
Chaplain - USS South Dakota,1,,Chaplain - USS South Dakota,
"Chaplain - Air National Guard Headquarters, Camden",1,,"Chaplain - Air National Guard Headquarters, Camden",
"Chaplain - Air National Guard, Pomona",1,,"Chaplain - Air National Guard, Pomona",
"Chaplain - Atlantic City Medical Center, Atlantic City",1,,"Chaplain - Atlantic City Medical Center, Atlantic City",
"Chaplain - Burdette Tomlin Hospital, Cape May",1,,"Chaplain - Burdette Tomlin Hospital, Cape May",
"Chaplain - Camden County Jail, Camden",1,,"Chaplain - Camden County Jail, Camden",
"Chaplain Clara Maas Medical Center, Belleville",1,,"Chaplain Clara Maas Medical Center, Belleville",
"Chaplain Cooper University Hospital, Camden",2,,"Chaplain Cooper University Hospital, Camden",
"Chaplain Gibbsboro Air Force Station, Gibbsboro",1,,"Chaplain Gibbsboro Air Force Station, Gibbsboro",
"Chaplain Kessler Memorial Hospital, Hammonton",1,,"Chaplain Kessler Memorial Hospital, Hammonton",
"Chaplain Newcomb Hospital, Vineland",1,,"Chaplain Newcomb Hospital, Vineland",
"Chaplain Newman Club Rutgers, Camden",1,,"Chaplain Newman Club Rutgers, Camden",
Chaplain Pomona Air Base,1,,Chaplain Pomona Air Base,
"Chaplain Prison Ministry, Camden",1,,"Chaplain Prison Ministry, Camden",
"Chaplain Riverfront State Prison, Camden",1,,"Chaplain Riverfront State Prison, Camden",
"Chaplain Shore Memory Hospital, Somers Point",1,,"Chaplain Shore Memory Hospital, Somers Point",
"Chaplain St. Mary's Nursing Home and Manor, Cherry Hill",1,,"Chaplain St. Mary's Nursing Home and Manor, Cherry Hill",
"Chaplain Underwood Memorial Hospital, Woodbury",2,,"Chaplain Underwood Memorial Hospital, Woodbury",
"Chaplain Virtua Hospital, Berlin",1,,"Chaplain Virtua Hospital, Berlin",
"Chaplain West Jersey Hospital, Camden",2,,"Chaplain West Jersey Hospital, Camden",
"Chaplain West Jersey, Voorhees",1,,"Chaplain West Jersey, Voorhees",
"Christ the King, Haddonfield",3,,"Christ the King, Haddonfield",
"Christ the King, Hillside",1,,"Christ the King, Hillside",
"Christ the King, Jersey City",2,,"Christ the King, Jersey City",
"Corpus Chrisi, Carney's Point",1,,"Corpus Christi, Carneys Point",
"Corpus Christi, Carney's Point",1,,"Corpus Christi, Carneys Point",
"Corpus Christi, Carney's Point",1,,"Corpus Christi, Carneys Point",
"Corpus Christi, Carneys Point",3,,"Corpus Christi, Carneys Point",
"DeLaSalle HS, Concord",1,,"DeLaSalle HS, Concord",
"Diocese of Burlington, Vermont",1,,"Diocese of Burlington, Vermont",
"Diocese of Gallup, New Mexico",1,,"Diocese of Gallup, New Mexico",
Diocese of Pittsburgh,1,,Diocese of Pittsburgh,
"Diocese of Santa Fe,",1,,"Diocese of Santa Fe,",
"Diocese of Trenton,",1,,"Diocese of Trenton,",
"Director - Sacred Heart Residence,",1,,"Director - Sacred Heart Residence,",
"Director - Vianney Villa,",1,,"Director - Vianney Villa,",
"Divine World College, Washington DC",1,,"Divine World College, Washington DC",
"EMS, Newark",1,,"EMS, Newark",
"Englewood Hospital, Englewood",1,,"Englewood Hospital, Englewood",
"Epiphany, Cliffside Park",1,,"Epiphany, Cliffside Park",
"Epiphany, Longport",3,,"Epiphany, Longport",
"Epiphany, Venice Florida",1,,"Epiphany, Venice Florida",
"F. P. O., San Francisco",1,,"F. P. O., San Francisco",
"Fairleigh Dickinson University, Rutherford",1,,"Fairleigh Dickinson University, Rutherford",
"Fayetteville, NY",1,,"Fayetteville, NY",
"Fort Benning, Georgia",1,,"Fort Benning, Georgia",
"Fort Dix, NJ",1,,"Fort Dix, NJ",
"Fort Hamilton, NY",1,,"Fort Hamilton, NY",
"Fort Monmouth, NJ",1,,"Fort Monmouth, NJ",
"Fort Rucker, Alabama",1,,"Fort Rucker, Alabama",
"Gloucester Catholic High School, Gloucester",2,,"Gloucester Catholic High School, Gloucester",
"Hackensack Hospital, Hackensack",1,,"Hackensack Hospital, Hackensack",
"Holy Family, Nutley",2,,"Holy Family, Nutley",
"Holy Family, Turnersville",1,,"Holy Family, Turnersville",
"Holy Family, Union City",2,,"Holy Family, Union City",
"Holy Maternity, Audubon",2,,"Holy Maternity, Audubon",
"Holy Name Hospital, Teaneck",1,,"Holy Name Hospital, Teaneck",
"Holy Name of Jesus, East Orange",2,,"Holy Name of Jesus, East Orange",
"Holy Name of Jesus, Mullica Hill",1,,"Holy Name of Jesus, Mullica Hill",
"Holy Name, Camden",5,,"Holy Name, Camden",
"Holy Rosary Academy, Union City",1,,"Holy Rosary Academy, Union City",
"Holy Rosary, Ashland",1,,"Holy Rosary, Ashland",
"Holy Rosary, Cherry Hill",1,,"Holy Rosary, Cherry Hill",
"Holy Rosary, Edgewater",2,,"Holy Rosary, Edgewater",
"Holy Rosary, Jersey City",1,,"Holy Rosary, Jersey City",
"Holy Savior, Westmont",3,,"Holy Saviour, Westmont",
"Holy Saviour, Westmont",3,,"Holy Saviour, Westmont",
"Holy Spirit High School, Absecon",5,,"Holy Spirit High School, Absecon",
"Holy Spirit High School, Atlantic City",1,,"Holy Spirit High School, Atlantic City",
"Holy Spirit, Asbury Park",1,,"Holy Spirit, Asbury Park",
"Holy Spirit, Atlantic City",6,,"Holy Spirit, Atlantic City",
"Holy Spirit, Union",2,,"Holy Spirit, Union",
"Holy Spirit/Our Lady Help of Christians, East Orange",3,,"Holy Spirit/Our Lady Help of Christians, East Orange",
"Holy Trinity, Hackensack",2,,"Holy Trinity, Hackensack",
"Holy Trinity, Westfield",6,,"Holy Trinity, Westfield",
"Holy Trinity/Epiphany, Newark",1,,"Holy Trinity/Epiphany, Newark",
"HQ 172 Inf Bde, Alaska",1,,"HQ 172 Inf Bde, Alaska",172nd Infantry Brigade
"IHM/St. Patrick, Elizabeth",1,"215 Court Street, Elizabeth, NJ 07206","Immaculate Heart of Mary/St. Patrick, Elizabeth",Immaculate Heart of Mary/St. Patrick Parish
"Immaculate Conception Cathedral, Bridgeton",1,"312 N Pearl St, Bridgeton, NJ 08302","Immaculate Conception Cathedral, Bridgeton",
"Immaculate Conception Seminary, Mahwah",1,,"Immaculate Conception Seminary, Mahwah",Appears to be a historic home? Multiple places
"Immaculate Conception Seminary, South Orange",1,"400 S Orange Ave, South Orange, NJ 07079","Immaculate Conception Seminary, South Orange",
"Immaculate Conception, Bridgeton",3,"312 N Pearl St, Bridgeton, NJ 08302","Immaculate Conception, Bridgeton",
"Immaculate Conception, Camden",9,"642 Market St, Camden, NJ 08102","Immaculate Conception, Camden",
"Immaculate Conception, Mahwah",1,"US-202, Mahwah, NJ 07430","Immaculate Conception, Mahwah",Multiple by that name 
"Immaculate Conception, Montclair",1,"30 N Fullerton Ave, Montclair, NJ 07042","Immaculate Conception, Montclair",
"Immaculate Conception, Newark",2,"654 Summer Avenue, Newark, NJ 07104-3418","Immaculate Conception, Newark",
"Immaculate Conception, Secaucus",3,"1219 Paterson Plank Rd, Secaucus, NJ 07094","Immaculate Conception, Secaucus",
"Immaculate Conception, Spotswood",2,"18 South St, Spotswood, NJ 08884","Immaculate Conception, Spotswood",Multiple by that name
"Immaculate Hear of Mary, Woodlynne",1,"201 Cooper Ave, Oaklyn, NJ 08107","Immaculate Heart of Mary, Woodlynne",
"Immaculate Heart of Mary, Woodlynne",3,"201 Cooper Ave, Oaklyn, NJ 08107","Immaculate Heart of Mary, Woodlynne",
"Immaculate Heart of Mary/St. Patrick, Elizabeth",1,"215 Court St, Elizabeth, NJ 07206","Immaculate Heart of Mary/St. Patrick, Elizabeth",
"Incarnation, Mantua",3,"240 Main St, Mantua Township, NJ 08051","Incarnation, Mantua",
"Jersey City Medical Center, Jersey City",1,"355 Grand St, Jersey City, NJ 07302","Jersey City Medical Center, Jersey City",
"K of C, Caldwell",1,"27 Personette St, Caldwell, NJ 07006","K of C, Caldwell",Multiple by that name
"LaSalle College, PA",1,"1900 W Olney Ave, Philadelphia, PA 19141","LaSalle College, PA",
"Leave, Puerto Rico",1,,"Leave, Puerto Rico",??
"Little Flower, Berkeley Heights",1,"110 Roosevelt Ave, Berkeley Heights, NJ 07922","Little Flower, Berkeley Heights",
"Mary Mother of God, Hillsborough",1,"157 S Triangle Rd, Hillsborough Township, NJ 08844","Mary Mother of God, Hillsborough","Look up(Pisik, Timothy E.)"
"Mary,",1,,"Mary,","Look up(Pisik, Timothy E.)"
Military Chaplain,1,,Military Chaplain,Not a church
Moderator Holy Child Day Camp,1,,Moderator Holy Child Day Camp,Can't find
"Most Blessed Sacrament, Franklin Lakes",1,"787 Franklin Lake Rd, Franklin Lakes, NJ 07417","Most Blessed Sacrament, Franklin Lakes",Could also be Academy of the most blessed sacrement
"Most Holy Name, Garfield",1,"99 Marsellus Pl, Garfield, NJ 07026","Most Holy Name, Garfield",
"Most Holy Redeemer, Westville",4,"1219 Delsea Dr Westville, NJ 08093","Most Holy Redeemer, Westville",Could be church or school
"Most Holy Redeemer, Westville Grove",4,"1219 Delsea Dr, Westville Grove, NJ 08093","Most Holy Redeemer, Westville Grove",Unclear if same as above
"Mother of the Church, Bellmawr",1,"20 Braisington Ave Bellmawr, NJ 08031","Mother of the Church, Bellmawr",
"Mother Seton Regional High School, Clark",1,"1 Valley Rd, Clark, NJ 07066","Mother Seton Regional High School, Clark",
"Mount St. Andrew Villa, Paramus",1,"55 W Midland Ave, Paramus, NJ 07652","Mount St. Andrew Villa, Paramus",
"Nativity, Midland Park",2,"315 Prospect St, Midland Park, NJ 07432","Nativity, Midland Park",
"Naval Hospital, Long Island",1,,"No longer exists, can't find address so ???",
"Notre Dame, North Caldwell",1,"359 Central Ave, Caldwell, NJ 07006","Notre Dame, North Caldwell",
"O. L. of Good Counsel, Ocean City",1,"3948 Central Ave, Ocean City, NJ 08226","Our Lady of Good Counsel, Ocean City",
"O. L. of Mt. Carmel, Berlin",1,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",Both church and school
"O.L Star of the Sea, Cape May",1,"525 Washington, Cape May, NJ 08204","Our Lady Star of the Sea, Cape May",
O.L. Lourdes Hospital Chaplain,1,"1601 Haddon Ave, Camden, NJ 08103",Our Lady Lourdes Hospital Chaplain,
"O.L. of Mt. Carmel, Berlin",5,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",Both church and school
"O.L. of Mt. Carmel, Camden",4,"832 S 4th St, Camden, NJ 08103","Our Lady of Mt. Carmel, Camden",
"O.L. of the Angels, Cape May Court House",2,"35 E Mechanic St, Cape May Court House, NJ 08210","Our Lady of the Angels, Cape May Court House",
"O.L. of the Lakes, Collings Lakes",1,"19 Malaga Road, Collings Lakes, Williamstown, NJ 08094","Our Lady of the Lakes, Collings Lakes",
"O.L. of Victories, Sayreville",1,"42 Main St, Sayreville, NJ 08872","Our Lady of Victories, Sayreville",Also a school
"O.L. Star of the Sea, Atlantic City",3,"2651 Atlantic Ave, Atlantic City, NJ 08401","Our Lady Star of the Sea, Atlantic City",
"O.L. Star of the Sea, Cape May",6,"525 Washington, Cape May, NJ 08204","Our Lady Star of the Sea, Cape May",
"Oratory Prep, Summit",3,"425 Morris Ave, Summit, NJ 07901","Oratory Prep, Summit",
"Our Lady Help of Christians, East Orange",1,"23 N Clinton St, East Orange, NJ 07017","Our Lady Help of Christians, East Orange",
"Our Lady of All Souls, East Orange",2,"Fourth Avenue and N Grove St, East Orange, New Jersey 07017","Our Lady of All Souls, East Orange",Appears to be a closed school and church
"Our Lady of Assumption, Bayonne",1,"93 W 23rd St, Bayonne, NJ 07002","Our Lady of the Assumption, Bayonne",Closed
"Our Lady of Fatima, North Bergen",2,"8101 Kennedy Blvd., North Bergen, NJ 07047","Our Lady of Fatima, North Bergen",
"Our Lady of Fatima, Piscataway",1,"501 New Market Rd, Piscataway Township, NJ 08854","Our Lady of Fatima, Piscataway",
"Our Lady of Good Counsel, Newark",1,"654 Summer Avenue, Newark, NJ 07104-3418","Our Lady of Good Counsel, Newark",
"Our Lady of Good Counsel, Ocean City",1,"3948 Central Ave, Ocean City, NJ 08226","Our Lady of Good Counsel, Ocean City",
"Our Lady of Grace, Somerdale",3,"35 North White Horse Pike, Somerdale, New Jersey 08083-1796","Our Lady of Grace, Somerdale",Closed
"Our Lady Of Grace/St. Joseph, Hoboken",2,"400 Willow Avenue, Hoboken NJ 07030","Our Lady Of Grace/St. Joseph, Hoboken",Merged of two parishes
"Our Lady of Libera, West New York",1,"5808 Kennedy Blvd., West New York, NJ 07093","Our Lady of Libera, West New York",
"Our Lady of Lourdes Nursing School, Camden",1,"1600 Haddon Avenue, Camden, NJ 08103 ","Our Lady of Lourdes Nursing School, Camden",
"Our Lady of Lourdes, Glassboro",3,"500 Greentree Rd, Glassboro, NJ 08028","Our Lady of Lourdes, Glassboro",
"Our Lady of Lourdes, Mountainside",2,"300 Central Avenue, Mountainside, NJ 07092","Our Lady of Lourdes, Mountainside",
"Our Lady of Lourdes, West Orange",2,"1 Eagle Rock Ave., West Orange, NJ 07052","Our Lady of Lourdes, West Orange",
"Our Lady of Lourdes, Whitehouse Station",1,"390 County Rd 523, Whitehouse Station, NJ 08889","Our Lady of Lourdes, Whitehouse Station",
"Our Lady of Mercy, Park Ridge",2,"2 Fremont Avenue, Park Ridge, NJ 07656","Our Lady of Mercy, Park Ridge",
"Our Lady of Mount Virgin, Middlesex",2,"600 Harris Ave, Middlesex, NJ 08846","Our Lady of Mount Virgin, Middlesex",Also a school
"Our Lady of Mt. Carmel, Berlin",1,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",Both church and school
"Our Lady of Mt. Carmel, Camden",1,"832 S 4th St, Camden, NJ 08103","Our Lady of Mt. Carmel, Camden",
"Our Lady of Mt. Carmel, Jersey City",4,"99 Broadway, Jersey City, NJ 07306","Our Lady of Mt. Carmel, Jersey City",
"Our Lady of Mt. Carmel, Lyndhurst",2,"149 Copeland Avenue, Lyndhurst, NJ 07071","Our Lady of Mt. Carmel, Lyndhurst",
"Our Lady of Mt. Carmel, Montclair",1,"94 Pine St, Montclair, NJ 07042","Our Lady of Mt. Carmel, Montclair",
"Our Lady of Mt. Carmel, Newark",1,"259 Oliver St, Newark, NJ 07105","Our Lady of Mt. Carmel, Newark",
"Our Lady of Mt. Carmel, Orange",1,"103 S Center St, City of Orange, NJ 07050","Our Lady of Mt. Carmel, Orange",
"Our Lady of Mt. Carmel, Ridgewood",3,"One Passaic St., Ridgewood, NJ 07450","Our Lady of Mt. Carmel, Ridgewood",
"Our Lady of Mt. Virgin, Garfield",1,"188 MacArthur Ave, Garfield, NJ 07026","Our Lady of Mt. Virgin, Garfield",
"Our Lady of Peace, Fords",1,"620 Amboy Ave, Edison, NJ 08837","Our Lady of Peace, Edison",
"Our Lady of Peace, New Providence",1,"111 South St, New Providence, NJ 07974","Our Lady of Peace, New Providence",Also a school
"Our Lady of Peace, North Arlington",1,"10 Franklin Pl., North Arlington, New Jersey 07031-6094","Our Lady of Peace, North Arlington","Does not appear to be a ""Our Lady of Peace,"" only a ""Queen of Peace"" church"
"Our Lady of Peace, North Brunswick",1,"1740 US Highway Rt. 130, North Brunswick, NJ 08902","Our Lady of Peace, North Brunswick",
"Our Lady of Perpetual Help, Oakland",1,"25 Purdue Ave, Oakland, NJ 07436","Our Lady of Perpetual Help, Oakland",
"Our Lady Of Sorrows, Jersey City",1,"95 Clerk St, Jersey City, NJ 07305","Our Lady Of Sorrows, Jersey City",
"Our Lady of Sorrows, Kearny",1,"136 Davis Ave, Kearny, NJ 07032","Our Lady of Sorrows, Kearny",
"Our Lady Of Sorrows, S. Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",Also a school
"Our Lady of Sorrows, South Orange",1,"217 Prospect St, South Orange, NJ","Our Lady of Sorrows, South Orange",Also a school
"Our Lady of the Angels, Cape May",3,"35 E Mechanic St, Cape May Court House, NJ 08210","Our Lady of the Angels, Cape May",
"Our Lady of the Assumption, Bayonne",1,"93 W 23rd St, Bayonne, NJ 07002","Our Lady of the Assumption, Bayonne",Closed
"Our Lady of the Blessed Sacrament, Roseland",1,"28 Livingston Ave, Roseland, NJ 07068","Our Lady of the Blessed Sacrament, Roseland",
"Our Lady of the Lake, Verona",1,"32 Lakeside Ave, Verona, NJ 07044","Our Lady of the Lake, Verona",Also a school
"Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",1,"52 Smith St, Elizabeth, NJ 07201","Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",
"Our Lady of the Most Holy Rosary/St.Michael, Elizabeth",1,"52 Smith St, Elizabeth, NJ 07201","Our Lady of the Most Holy Rosary/St. Michael, Elizabeth",
"Our Lady of the Pillar, Half Moon Bay, CA",1,"400 Church St, Half Moon Bay, CA 94019","Our Lady of the Pillar, Half Moon Bay, CA",
"Our Lady of the Rosary, Newark",1,"259 Oliver St., Newark, NJ 07105","Our Lady of the Rosary, Newark",Closed
"Our Lady of the Visitation, Paramus",3,"234 N Farview Ave, Paramus, NJ 07652","Our Lady of the Visitation, Paramus",Also a school
"Our Lady of Victories, Crestview FL",1,"550 Adams Dr, Crestview, FL 32536","Our Lady of Victories, Crestview FL",
"Our Lady of Victories, Jersey City",1,"2217 John F. Kennedy Blvd, Jersey City, NJ 07304","Our Lady of Victories, Jersey City",
