Row Labels,Count of church,Address,Change to:,Flag
"Our Lady of Victories, Landisville",3,"202 Northwest Blvd, Landisville, NJ 08326","Our Lady of Victories, Landisville",
"Our Lady of Victories, Sayreville",1,"42 Main St, Sayreville, NJ 08872","Our Lady of Victories, Sayreville",Also a school
"Our Lady Queen of Peace, Pitman",1,"161 Pitman Ave, Pitman, NJ 08071","Our Lady Queen of Peace, Pitman",
"Our Lady Star of the Sea, Atlantic City",3,"2651 Atlantic Ave, Atlantic City, NJ 08401","Our Lady Star of the Sea, Atlantic City",
"Our Lady Star of the Sea, Cape May",1,"525 Washington, Cape May, NJ 08204","Our Lady Star of the Sea, Cape May",
"Out Lady of Mt. Carmel, Berlin",1,"178 W White Horse Pike, Berlin, NJ 08009","Out Lady of Mt. Carmel, Berlin",Also a school
"Out Lady of Mt. Virgin, Garfield",1,"188 MacArthur Ave, Garfield, NJ 07026","Our Lady of Mt. Virgin, Garfield",
"Padre Pio Friary, Hoboken",1,"619 Jefferson St, Hoboken, NJ 07030","Padre Pio Friary, Hoboken",Listed as business in a few places
"Paramus Catholic HS, Paramus",1,"425 Paramus Rd, Paramus, NJ 07652","Paramus Catholic HS, Paramus",
"Paul VI High School, Haddon Township",4,"901 Hopkins Rd B, Haddonfield, NJ 08033","Paul VI High School, Haddon Township",
"Pope John Paul II Pavilion, Orange",1,"135 S Center St, Orange, NJ 07050 ","Pope John Paul II Pavilion, Orange",
"Post Chapel, Fort Jackson - South Carolina",1,"4580 Scales Ave, Columbia, South Carolina 29207","Post Chapel, Fort Jackson - South Carolina",
"Post Chapel, Ft. Meade, MD",1,"4419 Llewellyn Ave, Fort Meade, MD 20755","Post Chapel, Ft. Meade, MD",
"Puerto Rican Apostolate,",1,,"Puerto Rican Apostolate,",NOT A CHURCH
"Queen of Apostles, Brigantine",1,,"Queen of Apostles, Brigantine","Cannot find anywhere, likely closed"
"Queen of Heaven, Cherry Hill",1,"11 Connecticut Ave, Cherry Hill, NJ 08002","Queen of Heaven, Cherry Hill","Both a school and church, now closed"
"Queen of Heaven, Erlton",1,"11 Connecticut Ave, Cherry Hill, NJ 08002","Queen of Heaven, Cherry Hill","Both a school and church, now closed"
"Queen of Peace, N. Arlington",1,"10 Franklin Pl., North Arlington, New Jersey 07031-6094","Queen of Peace, N. Arlington","Does not appear to be a ""Our Lady of Peace,"" only a ""Queen of Peace"" church"
"Queen of Peace, Pitman",1,"161 Pitman Ave, Pitman, NJ 08071","Queen of Peace, Pitman",
"Queen of the Apostles, Pennsville",2,"391 S Broadway; Pennsville, New Jersey 08070","Queen of the Apostles, Pennsville",Closed
"Queenship of Mary, Plainsboro",1,"16 Dey Rd, Plainsboro Township, NJ 08536","Queenship of Mary, Plainsboro",
"Ramapo College, Mahwah",1,"505 Ramapo Valley Rd, Mahwah, NJ 07430","Ramapo College, Mahwah",Address is approx
"Religion Faculty of East Orange Catholic HS,",1,,"Religion Faculty of East Orange Catholic HS,","Long since closed, no address found"
"Resurrection, Marmora",2,"200 Tuckahoe Rd, Marmora, NJ 08223","Resurrection, Marmora","Called ""Saint Maximilian Kolbe"" or Church of the Resurrection but prob the same"
"Roselle Catholic,",1,"350 Raritan Rd, Roselle, NJ 07203","Roselle Catholic, Roselle",
"Roselle Catholic, Roselle",1,"350 Raritan Rd, Roselle, NJ 07203","Roselle Catholic, Roselle",
"Sacred Heart Cathedral, Newark",1,"89 Ridge Street, Newark, NJ","Sacred Heart Cathedral, Newark",
"Sacred Heart Church, Anniston Alabama",1,"1301 Golden Springs Rd, Anniston, AL 36207","Sacred Heart Church, Anniston Alabama",
"Sacred Heart High School, Vineland",4,"15 N East Ave, Vineland, NJ 08360","Sacred Heart High School, Vineland",Closed
"Sacred Heart Institute, West Caldwell",1,,"Sacred Heart Institute, West Caldwell","No address found, likely closed"
"Sacred Heart Priest Residence,",1,"1730 Kresson Rd, Cherry Hill, NJ 08003","Sacred Heart Priest Residence,",Appears to be a nursing home for priests
"Sacred Heart South, Cherry Hill",1,,"Sacred Heart South, Cherry Hill","Unclear. There are two locations -- the priest residence above and the Sacred Heart Residence North, which strangely is south of the other one"
"Sacred Heart, Bloomfield",1,"76 Broad St, Bloomfield, NJ 07003","Sacred Heart, Bloomfield",Also used to be a school
"Sacred Heart, Camden",6,"1739 Ferry Ave, Camden, NJ 08104","Sacred Heart, Camden",Also a school
"Sacred Heart, Haworth",1,"102 Park St, Haworth, NJ 07641","Sacred Heart, Haworth",
"Sacred Heart, Lyndhurst",1,"324 Ridge Rd, Lyndhurst, NJ 07071","Sacred Heart, Lyndhurst",Also a school
"Sacred Heart, Mt. Ephraim",2,"7 W. Kings Hwy., Mount Ephraim, NJ 08059","Sacred Heart, Mt. Ephraim",Merged with St. Rose now
"Sacred Heart, New Brunswick",1,"56 Throop Ave, New Brunswick, NJ 08901","Sacred Heart, New Brunswick",
"Sacred Heart, Newark",1,"89 Ridge Street, Newark, NJ","Sacred Heart Cathedral, Newark",
"Sacred Heart, Rochelle Park",2,"15 Forest Pl, Rochelle Park, NJ 07662","Sacred Heart, Rochelle Park",
"Sacred Heart, South Plainfield",1,"149 S Plainfield Ave, South Plainfield, New Jersey 07080","Sacred Heart, South Plainfield",Also a school
"Sacred Heart, Vailsburg",1,"24 Hazelwood Ave, Newark, New Jersey 07106","Sacred Heart, Vailsburg",Both closed church and school?
"Sacred Heart, Vineland",8,"1010 E Landis Ave, Vineland, New Jersey 08360","Sacred Heart, Vineland",
"Saint Cecilia, Pennsauken",1,,"Saint Cecilia, Pennsauken",Carla Start
"Saint Joseph, Swedesboro",1,,"Saint Joseph, Swedesboro",
"Saint Mary, Rosenhayn",1,,"Saint Mary, Rosenhayn",
"Saint Monica, Atlantic City",1,,"Saint Monica, Atlantic City",
"Saint Peter, Pleasantville",1,,"Saint Peter, Pleasantville",
"Saint Teresa of Calcutta, Collingswood",1,,"Saint Teresa of Calcutta, Collingswood",
"Saint Teresa, Runnemede",1,,"Saint Teresa, Runnemede",
"San Juan Puerto Rico,",1,,"San Juan Puerto Rico,",
"Seton Hall Prep, South Orange",1,,"Seton Hall Prep, South Orange",
"Seton Hall University, South Orange",1,,"Seton Hall University, South Orange",
"Spiritual DIrector - CYO Hudson, Jersey City",1,,"Spiritual Director - CYO Hudson, Jersey City",
"Ss. Joseph and Michael, Union City",1,,"Ss. Joseph and Michael, Union City",
"Ss. Peter and Paul, Hoboken",2,,"Ss. Peter and Paul, Hoboken",
"St. Aedan's the St. Peter's University Church, Jersey City",1,,"St. Aedan's the St. Peter's University Church, Jersey City",
"St. Agnes, Blackwood",6,,"St. Agnes, Blackwood",
"St. Aloysius, Caldwell",2,,"St. Aloysius, Caldwell",
"St. Aloysius, Jersey City",4,,"St. Aloysius, Jersey City",
"St. Aloysius, Newark",2,,"St. Aloysius, Newark",
"St. Aloysius, Oaklyn",5,,"St. Aloysius, Oaklyn",
"St. Alphonsus, Wexford PA",1,,"St. Alphonsus, Wexford PA",
"St. Andre, Gibbsboro",1,,"St. Andre, Gibbsboro",
"St. Andrew, Bayonne",1,,"St. Andrew, Bayonne",
"St. Andrew, Gibbsboro",1,,"St. Andrew, Gibbsboro",
"St. Andrew, Westwood",1,,"St. Andrew, Westwood",
"St. Ann-Polish, Jersey City",1,,"St. Ann Polish, Jersey City",
"St. Ann, Elmer",1,,"St. Ann, Elmer",
"St. Ann, Raritan",2,,"St. Ann, Raritan",
"St. Ann, Westville",1,,"St. Ann, Westville",
"St. Ann, Wildwood",5,,"St. Ann, Wildwood",
"St. Anne, Westville",4,,"St. Anne, Westville",
"St. Anthony of Padua, Camden",1,,"St. Anthony of Padua, Camden",
"St. Anthony of Padua, Hammonton",2,,"St. Anthony of Padua, Hammonton",
"St. Anthony of Padua, Newark",4,,"St. Anthony of Padua, Newark",
"St. Anthony of Padua, Union City",2,,"St. Anthony of Padua, Union City",
"St. Anthony, Camden",1,,"St. Anthony, Camden",
"St. Anthony, East Newark",1,,"St. Anthony, East Newark",
"St. Anthony, Northvale",1,,"St. Anthony, Northvale",
"St. Anthony, Waterford",3,,"St. Anthony, Waterford",
"St. Antoninus, Newark",1,,"St. Antoninus, Newark",
"St. Antonius, Newark",1,,"St. Antoninus, Newark",
"St. Augustine, Ocean City",5,,"St. Augustine, Ocean City",
"St. Augustine, Union City",1,,"St. Augustine, Union City",
"St. Bartholomew, Camden",3,,"St. Bartholomew, Camden",
"St. Bartholomew, East Brunswick",1,,"St. Bartholomew, East Brunswick",
"St. Bartholomew, Scotch Plains",1,,"St. Bartholomew, Scotch Plains",
"St. Bernadette, Northfield",3,,"St. Bernadette, Northfield",
"St. Bernard, Plainfield",1,,"St. Bernard, Plainfield",
"St. Bridget Resurrection, Jersey City",1,,"St. Bridget Resurrection, Jersey City",
"St. Bridget, Glassboro",3,,"St. Bridget, Glassboro",
"St. Brigid, North Bergen",1,,"St. Brigid, North Bergen",
"St. Casimir, Woodbine",2,,"St. Casimir, Woodbine",
"St. Cassian, Upper Montclair",2,,"St. Cassian, Upper Montclair",
"St. Catherine of Siena, Cedar Grove",2,,"St. Catherine of Siena, Cedar Grove",
"St. Catherine of Siena, Pittstown",1,,"St. Catherine of Siena, Pittstown",
"St. Catherine, Clayton",2,,"St. Catherine, Clayton",
"St. Catherine, Glen Rock",1,,"St. Catherine, Glen Rock",
"St. Catherine, Hillside",1,,"St. Catherine, Hillside",
"St. Cecelia, Iselin",1,,"St. Cecelia, Iselin",
"St. Cecelia, Pennsauken",1,,"St. Cecelia, Pennsauken",
"St. Cecilia School, Englewood",1,,"St. Cecilia School, Englewood",
"St. Cecilia, Kearny",2,,"St. Cecilia, Kearny",
"St. Cecilia, Monmouth Junction",1,,"St. Cecilia, Monmouth Junction",
"St. Cecilia, Pennsauken",8,,"St. Cecilia, Pennsauken",
"St. Charles Borromeo, Montgomery Twp.",1,,"St. Charles Borromeo, Montgomery Twp.",
"St. Charles Borromeo, Newark",2,,"St. Charles Borromeo, Newark",
"St. Charles Borromeo, Washington Twp.",1,,"St. Charles Borromeo, Washington Twp.",
"St. Columba, Newark",1,,"St. Columba, Newark",
"St. Edward, Milford",1,,"St. Edward, Milford",
"St. Edward, Pine Hill",8,,"St. Edward, Pine Hill",
"St. Elizabeth Ann Seton, Absecon",1,,"St. Elizabeth Ann Seton, Absecon",
"St. Elizabeth Hospital, Elizabeth",2,,"St. Elizabeth Hospital, Elizabeth",
"St. Elizabeth-St. Brigid, Far Hills-Peapack",1,,"St. Elizabeth-St. Brigid, Far Hills-Peapack",
"St. Elizabeth, Wyckoff",4,,"St. Elizabeth, Wyckoff",
"St. Frances de Sales, Barrington",1,,"St. Frances de Sales, Barrington",
"St. Francis Cabrini, Ocean City",1,,"St. Francis Cabrini, Ocean City",
"St. Francis de Sales, Barrington",4,,"St. Francis de Sales, Barrington",
"St. Francis De Sales, Lodi",1,,"St. Francis De Sales, Lodi",
"St. Francis DeSales Church, San Bernadino",1,,"St. Francis DeSales Church, San Bernadino",
"St. Francis of Assisi, Ridgefield Park",1,,"St. Francis of Assisi, Ridgefield Park",
"St. Francis of Assisi, Vineland",2,,"St. Francis of Assisi, Vineland",
"St. Francis Xavier Church, Newark",1,,"St. Francis Xavier Church, Newark",
"St. Francis Xavier, Newark",1,,"St. Francis Xavier, Newark",
"St. Francis, Barrington",1,,"St. Francis, Barrington",
"St. Francis, Metuchen",1,,"St. Francis, Metuchen",
"St. Francis, Ridgefield Park",2,,"St. Francis, Ridgefield Park",
"St. Francis, Vineland",1,,"St. Francis, Vineland",
"St. George, Camden",1,,"St. George, Camden",
"St. Gregory, Magnolia",5,,"St. Gregory, Magnolia",
"St. Helen, Westfield",1,,"St. Helen, Westfield",
"St. Henry, Bayonne",3,,"St. Henry, Bayonne",
"St. Isidore the Farmer, Vineland",1,,"St. Isidore the Farmer, Vineland",
"St. Isidore, Vineland",2,,"St. Isidore, Vineland",
"St. James High School, Carneys Point",6,,"St. James High School, Carneys Point",
"St. James, Penns Grove",2,,"St. James, Penns Grove",
"St. James, Sewickley PA",1,,"St. James, Sewickley PA",
"St. James, Ventnor",7,,"St. James, Ventnor",
"St. James, Woodbridge",1,,"St. James, Woodbridge",
"St. Joan of Arc, Camden",9,,"St. Joan of Arc, Camden",
"St. John Bosco, Millville",3,,"St. John Bosco, Millville",
"St. John Nepomucene, Guttenberg",1,,"St. John Nepomucene, Guttenberg",
"St. John Nepomucene, Gutttenberg",1,,"St. John Nepomucene, Guttenberg",
"St. John Neumann, Sicklerville",1,,"St. John Neumann, Sicklerville",
"St. John of God, North Cape May",1,,"St. John of God, North Cape May",
"St. John the Apostle, Linden",2,,"St. John the Apostle, Linden",
"St. John the Baptist, Fairview",1,,"St. John the Baptist, Fairview",
"St. John the Baptist, Jersey City",2,,"St. John the Baptist, Jersey City",
"St. John the Evangelist, Dunellen",1,,"St. John the Evangelist, Dunellen",
"St. John the Evangelist, Enhaut",1,,"St. John the Evangelist, Enhaut",
"St. John Vianney, Blackwood Terrace",1,,"St. John Vianney, Blackwood Terrace",
"St. John Vianney, Colonia",1,,"St. John Vianney, Colonia",
"St. John Vianney, Deptford",1,,"St. John Vianney, Deptford",
"St. John, Bergenfield",1,,"St. John, Bergenfield",
"St. John, Collingswood",5,,"St. John, Collingswood",
"St. John, Deptford",1,,"St. John, Deptford",
"St. John, Paulsboro",4,,"St. John, Paulsboro",
"St. John, South Carolina",1,,"St. John, South Carolina",
"St. Joseph - South, Camden",1,,"St. Joseph - South, Camden",
"St. Joseph High School, Hammonton",3,,"St. Joseph High School, Hammonton",
"St. Joseph of the Palisades, West New York",3,,"St. Joseph of the Palisades, West New York",
"St. Joseph Pro-Cathedral, Camden",2,,"St. Joseph Pro-Cathedral, Camden",
"St. Joseph the Carpenter, Roselle",1,,"St. Joseph the Carpenter, Roselle",
"St. Joseph, Bayonne",1,,"St. Joseph, Bayonne",
"St. Joseph, Bound Brook",1,,"St. Joseph, Bound Brook",
"St. Joseph, E. Camden",1,,"St. Joseph, E. Camden",
"St. Joseph, E. Orange",1,,"St. Joseph, E. Orange",
"St. Joseph, East Camden",4,,"St. Joseph, East Camden",
"St. Joseph, Jersey City",1,,"St. Joseph, Jersey City",
"St. Joseph, Maplewood",1,,"St. Joseph, Maplewood",
"St. Joseph, North Plainfield",1,,"St. Joseph, North Plainfield",Blake started on this row
"St. Joseph, Sea Isle",2,,"St. Joseph, Sea Isle City",
"St. Joseph, Sea Isle City",1,,"St. Joseph, Sea Isle City",
"St. Joseph, Somers Point",5,,"St. Joseph, Somers Point",There is a school and a church?
"St. Joseph, South Camden",3,,"St. Joseph's, South Camden",
"St. Joseph, Swedesboro",5,,"St. Joseph, Swedesboro",
"St. Joseph, Washington",1,,"St. Joseph, Washington",
"St. Joseph, West Orange",2,,"St. Joseph's, West Orange",
"St. Joseph, Woodstown",6,,"St. Joseph's, Woodstown",
"St. Joseph's Church, Hanover",1,,"St. Joseph, Hanover",It's in PA
"St. Joseph's High School, Camden",1,,"St. Joseph's High School, Camden",
"St. Jude, Blackwood",1,,"St. Jude, Blackwood",
"St. Jude, Blairstown",1,,"St. Jude, Blairstown",
"St. Lawrence, Laurel Springs",1,,"St. Lawrence, Laurel Springs",Does not appear to exist anymore
"St. Lawrence, Lindenwold",6,,"St. Lawrence, Lindenwold",
"St. Lawrence, Weehawken",1,,"St. Lawrence, Weehawken",
"St. Leo's, Irvington",1,,"St. Leo's, Irvington",
"St. Lucy, Blue Anchor",1,,"St. Lucy, Blue Anchor",It (sort of) doesn't exist anymore
"St. Lucy, Newark",3,,"St. Lucy's, Newark",
"St. Luke, Ho-Ho-Kus",1,,"St. Luke's, Ho-Ho-Kus",
"St. Luke, North Plainfield",2,,"St. Luke, North Plainfield",
"St. Luke, Stratford",6,,"St. Luke's, Stratford",
"St. Margaret of Corona, Little Ferry",1,,"St. Margaret of Cortona, Little Ferry",
"St. Margaret of Cortona, Little Ferry",1,,"St. Margaret of Cortona, Little Ferry",
"St. Margaret, Woodbury Heights",4,,"St. Margaret, Woodbury Heights",It's a school and a church?
"St. Maria Goretti, Runnemede",4,,"St. Maria Goretti, Runnemede",
"St. Martin de Porres, Hammonton",3,,"St. Martin de Porres, Hammonton",Doesn't exist anymore
"St. Mary - Star of the Sea, Bayonne",1,,"St. Mary - Star of the Sea, Bayonne",
St. Mary Hospital,1,Passaic?,St. Mary's General Hospital,
"St. Mary Magdalen, Millville",4,,"St. Mary Magdalen, Millville",It's a church and a school?
"St. Mary of the Angels Academy, Haddonfield",1,,"St. Mary of the Angels Academy, Haddonfield",
"St. Mary of the Assumption, Elizabeth",2,,"St. Mary of the Assumption, Elizabeth",It's a church and a school?
"St. Mary, Cherry Hill",4,,"St. Mary, Cherry Hill",
"St. Mary, Dumont",2,,"St. Mary's, Dumont",
"St. Mary, Elizabeth",1,,"St. Mary, Elizabeth",It's a church and a school?
"St. Mary, Gloucester",9,,"St. Mary's, Gloucester",
"St. Mary, Jersey City",4,,"St. Mary, Jersey City",It's a church and a school?
"St. Mary, Nutley",1,,"St. Mary's, Nutley",
"St. Mary, Paterson",1,,"St. Mary, Paterson","There is also a St. Mary in the Paterson Parish, need to confirm which one this is"
"St. Mary, Perth Amboy",1,,"St. Mary, Perth Amboy",May no longer exist
"St. Mary, Plainfield",1,,"St. Mary's, Plainfield",
"St. Mary, Rosenhayn",1,,"St. Mary's, Rosenhayn",
"St. Mary, Rutherford",2,,"St. Mary, Rutherford",
"St. Mary, Salem, NJ",4,,"St. Mary's, Salem, NJ",
"St. Mary, Williamstown",6,,"St. Mary, Williamstown",There's also a school there called St. Mary's
"St. Mary's, Cherry Hill",1,,"St. Mary's, Cherry Hill",
"St. Mary's, Shelby, NC",1,,"St. Mary Help of Christians, Shelby, NC",
"St. Mary's Nursing Home, Cherry Hill",1,,"St. Mary's Nursing Home, Cherry Hill",
"St. Matthew, Edison",1,,"St. Matthew the Apostle, Edison",
"St. Matthew, National Park",3,,"St. Matthew's, National Park",
"St. Matthew, Ridgefield",2,,"St. Matthew, Ridgefield",
"St. Matthias, Somerset",1,,"St. Matthias, Somerset",
"St. Maurice, Brooklawn",3,,"St. Maurice, Brooklawn",
"St. Michael Church, Jersey City",1,,"St. Michael Church, Jersey City",
"St. Michael Medical Center, Newark",1,,"St. Michael's Medical Center, Newark",
"St. Michael, Atlantic City",4,,"St. Michael's, Atlantic City",Doesn't appear to exist anymore
"St. Michael, Cedarville",7,,"St. Michael, Cedarville",
"St. Michael, Cranford",1,,"St. Michael, Cranford",
"St. Michael, Gibbstown",5,,"St. Michael, Gibbstown",
"St. Michael, Jersey City",1,,"St. Michael, Jersey City",
"St. Michael, Minotola",1,,"St. Michael, Minotola",
"St. Michael, Union",1,,"St. Michael, Union",
"St. Michael's, Palisades Park",1,,"St. Michael's, Palisades Park",
"St. Monica, Atlantic City",1,,"St. Monica, Atlantic City",
"St. Nicholas Grammar School, Atlantic City",1,,"St. Nicholas Grammar School, Atlantic City",
"St. Nicholas of Tolentine, Atlantic City",1,,"St. Nicholas of Tolentine, Atlantic City",
"St. Nicholas, Egg Harbor",3,,"St. Nicholas, Egg Harbor",
"St. Nicholas, Jersey City",2,,"St. Nicholas, Jersey City",It's a church and a school
"St. Patrick Pro-Cathedral, Newark",1,,"St. Patrick's Pro-Cathedral, Newark",
"St. Patrick, Elizabeth",1,,"St. Patrick's, Elizabeth",
"St. Patrick, Woodbury",6,,"St. Patrick's, Woodbury",
"St. Paul of the Cross, Jersey City",2,,"St. Paul of the Cross, Jersey City",
"St. Paul, Stone Harbor",3,,"St. Paul, Stone Harbor",
"St. Peter Celestine, Cherry Hill",4,,"St. Peter Celestine, Cherry Hill",
"St. Peter Claver, Montclair",1,,"St. Peter Claver, Montclair",
"St. Peter the Apostle, New Brunswick",1,,"St. Peter the Apostle, New Brunswick",
"St. Peter the Apostle, River Edge",2,,"St. Peter the Apostle, River Edge",
"St. Peter, Merchantville",7,,"St. Peter, Merchantville",
"St. Peter, Pleasantville",4,,"St. Peter, Pleasantville",
"St. Philip and St. James, Phillipsburg",3,,"St. Philip and St. James, Phillipsburg",
"St. Philip the Apostle, Saddle Brook",1,,"St. Philip the Apostle, Saddle Brook",
"St. Philomena, Livingston",4,,"St. Philomena, Livingston",
"St. Pius X High School, Piscataway",1,,"St. Pius X High School, Piscataway",
"St. Pius X, Cherry Hill",4,,"St. Pius X, Cherry Hill",
"St. Pius X, Old Tappan",1,,"St. Pius X, Old Tappan",
"St. Raphael, Livingston",1,,"St. Raphael, Livingston",
"St. Raymond, Villas",2,,"St. Raymond, Villas",
"St. Rocco Community Outreach Center, Newark",1,,"St. Rocco Community Outreach Center, Newark",
"St. Rocco Parish, Newark",1,,"St. Rocco Parish, Newark",Could include the school?
"St. Rocco School, Newark",1,,"St. Rocco School, Newark",
"St. Rose of Lima, Haddon Heights",4,,"St. Rose of Lima, Haddon Heights",Could also be a school?
"St. Rose of Lima, Newfield",1,,"St. Rose of Lima, Newfield",
"St. Rose of Lima, Short Hills",4,,"St. Rose of Lima, Short Hills",
"St. Rose, Haddon Heights",5,,"St. Rose of Lima, Haddon Heights",Could also be a school? / Same as above
"St. Rose, Newfield",4,,"St. Rose of Lima, Newfield",
"St. Stanislaus Kostka, Sayreville",1,,"St. Stanislaus Kostka, Sayreville",
"St. Stephen, Pennsauken",5,,"St. Stephen, Pennsauken",
"St. Teresa of Avila, Bridgeton",1,,"St. Teresa of Avila, Bridgeton",
"St. Teresa of Avila, Summit",1,,"St. Teresa of Avila, Summit",
"St. Teresa, Runnemede",3,,"St. Teresa, Runnemede",Could also be a school?
"St. Theresa, Kenilworth",2,,"St. Theresa, Kenilworth",
"St. Theresa, Runnemede",1,,"St. Teresa, Runnemede",Could also be a school? / same as above
"St. Thomas More, Cherry Hill",3,,"St. Thomas More, Cherry Hill",
"St. Thomas the Apostle, Old Bridge",1,,"St. Thomas the Apostle, Old Bridge",
"St. Thomas, Brigantine",5,,"St. Thomas, Brigantine",
"St. Thomas, Brigantine - weekends",1,,"St. Thomas, Brigantine",Same as above
"St. Valentine, Bloomfield",3,,"St. Valentine, Bloomfield",
"St. Veronica, Delair",1,,"St. Veronica, Delair",
"St. Vincent de Paul, Bayonne",2,,"St. Vincent de Paul, Bayonne",
"St. Vincent de Paul, Mays Landing",2,,"St. Vincent de Paul, Mays Landing",
"St. Vincent Pallotti, Haddon Township",1,,"St. Vincent Pallotti, Haddon Township",
"Stevens Institute of Technology, Hoboken",1,,"Stevens Institute of Technology, Hoboken",
"Sts. Peter & Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",
"Sts. Peter & Paul, Washington Township",1,,"Sts. Peter & Paul, Turnersville",same as above
"Sts. Peter and Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",same as above
"Temporary Assignment Diocese of Trenton, Sea Bright",1,,"Trenton Diocese, Sea Bright",
"Temporary Chaplain - Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood ",Same as below
"Transfiguration, West Collingswood",3,,"Transfiguration, West Collingswood",
"U.S. Naval Air Station, Norfolk",1,,"U.S. Naval Air Station, Norfolk",
"Union Catholic Regional High School, Scotch Plains",1,,"Union Catholic Regional High School, Scotch Plains",
US Army - Chaplain,1,,US Army - Chaplain,
"US Army Chaplain School, Ft. Wadsworth",1,,"US Army Chaplain School, Ft. Wadsworth",
US Army,1,,US Army,
"US Naval Reserve,",1,,"US Naval Reserve,",
"Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood ",
"Veteran's Administrative Hospital, Batavia",1,,"Veterans Administration Hospital, Batavia",
"Vianney Renewal Center, Dittmer, MO",1,,"Vianney Renewal Center, Dittmer, MO",
"Vianney Villa, Cherry Hill",2,,"Vianney Villa, Cherry Hill",
Villanova University,1,,Villanova University,
"West Jersey Hospital - Chaplain, Camden",1,,"West Jersey Hospital, Camden",