key,value
"Camden, Camden County",3183
"Atlantic City, Atlantic County",2854
"Newark, Essex County",2568
"Paterson, Passaic County",1869
"Elizabeth, Union County",1674
"Vineland, Cumberland County",1639
"NJSP, State Police",1442
"Toms River, Ocean County",1161
"Trenton, Mercer County",1147
"Jersey City, Hudson County",1082
"Gloucester, Camden County",889
"Perth Amboy, Middlesex County",873
"Lakewood, Ocean County",798
"Bayonne, Hudson County",764
"New Brunswick, Middlesex County",746
"Hamilton, Mercer County",742
"Asbury Park, Monmouth County",725
"Glassboro, Gloucester County",710
"East Orange, Essex County",702
"Irvington, Essex County",676
"Millville, Cumberland County",665
"Neptune Township, Monmouth County",658
"Long Branch, Monmouth County",611
"Woodbridge, Middlesex County",607
"Passaic, Passaic County",602
"Clifton, Passaic County",596
"Hoboken, Hudson County",568
"West New York, Hudson County",560
"Edison, Middlesex County",559
"Union township, Union County",539
"Evesham, Burlington County",531
"Bridgeton City, Cumberland County",476
"Egg Harbor Township, Atlantic County",472
"Howell, Monmouth County",462
"Bloomfield, Essex County",457
"Wildwood, Cape May County",456
"Brick, Ocean County",429
"Belleville, Essex County",419
"Cherry Hill, Camden County",405
"Lindenwold, Camden County",387
"Lawrence, Mercer County",386
"Middletown, Monmouth County",381
"Jackson, Ocean County",376
"Roselle, Union County",369
"Linden, Union County",367
"Point Pleasant Beach, Ocean County",366
"Winslow, Camden County",364
"Union City, Hudson County",360
"Manchester, Ocean County",359
"Maplewood, Essex County",337
"Hackensack, Bergen County",319
"Galloway, Atlantic County",319
"Teaneck, Bergen County",319
"Voorhees, Camden County",316
"Seaside Heights, Ocean County",307
"Deptford, Gloucester County",305
"Red Bank, Monmouth County",305
"Washington, Gloucester County",301
"Pleasantville, Atlantic County",287
"Orange, Essex County",286
"Pemberton, Burlington County",285
"Fort Lee, Bergen County",280
"Pennsauken, Camden County",273
"Paramus, Bergen County",271
"North Plainfield, Somerset County",270
"Mount Holly, Burlington County",267
"Carteret, Middlesex County",256
"Ewing, Mercer County",255
"Cliffside Park, Bergen County",255
"Somerville, Somerset County",252
"Nutley, Essex County",249
"East Brunswick, Middlesex County",246
"Monroe, Gloucester County",244
"Bridgewater, Somerset County",241
"Garfield, Bergen County",231
"Willing Boro, Burlington County",228
"Hamilton, Atlantic County",224
"Plainfield, Union County",222
"Dover, Morris County",221
"Little Egg Harbor, Ocean County",219
"North Bergen, Hudson County",215
"North Wildwood, Cape May County",214
"Secaucus, Hudson County",212
"Gloucester City, Camden County",211
"Franklin, Somerset County",211
"Lacey, Ocean County",204
"West Orange, Essex County",199
"South River, Middlesex County",198
"Sayreville, Middlesex County",191
"Ocean Township, Monmouth County",186
"Morristown, Morris County",185
"Hopatcong, Sussex County",182
"North Brunswick, Middlesex County",180
"Eatontown, Monmouth County",180
"Pine Hill, Camden County",179
"Middle, Cape May County",173
"Maple Shade, Burlington County",173
"East Windsor, Mercer County",172
"Berkeley, Ocean County",171
"Wall, Monmouth County",170
"Burlington City, Burlington County",165
"Mount Laurel, Burlington County",165
"West Deptford, Gloucester County",163
"Montclair, Essex County",163
"Kearny, Hudson County",159
"Belmar, Monmouth County",158
"Parsippany, Morris County",158
"Ocean City, Cape May County",154
"Hillsborough, Somerset County",152
"Aberdeen, Monmouth County",151
"Hillside, Union County",149
"Pennsville, Salem County",148
"Bound Brook, Somerset County",144
"Stafford, Ocean County",141
"Cranford, Union County",138
"Roxbury, Morris County",136
"Tinton Falls, Monmouth County",135
"South Plainfield, Middlesex County",134
"Barnegat, Ocean County",133
"Ridgewood, Bergen County",133
"Paulsboro, Gloucester County",129
"Salem City, Salem County",129
"Plainsboro, Middlesex County",128
"Woodbury, Gloucester County",128
"Elmwood Park, Bergen County",127
"South Brunswick, Middlesex County",126
"Mount Olive, Morris County",124
"Lyndhurst, Bergen County",124
"Sea Isle City, Cape May County",124
"Haledon, Passaic County",123
"Rahway, Union County",122
"Ramsey, Bergen County",122
"Fairfield, Essex County",120
"Hammonton, Atlantic County",119
"Wayne, Passaic County",118
"Marlboro, Monmouth County",117
"Clark, Union County",114
"Pompton Lakes, Passaic County",113
"Edgewater, Bergen County",113
"Riverside, Burlington County",112
"Manalapan, Monmouth County",112
"Hopewell twp, Mercer County",110
"Point Pleasant, Ocean County",110
"Hazlet, Monmouth County",109
"Bordentown Town, Burlington County",108
"Ridgefield Park, Bergen County",107
"Dunellen, Middlesex County",107
"Roselle Park, Union County",106
"Madison, Morris County",105
"Manasquan, Monmouth County",105
"South Orange, Essex County",104
"Freehold Boro, Monmouth County",104
"Mantua, Gloucester County",103
"Randolph, Morris County",103
"Harrison, Hudson County",102
"Monroe, Middlesex County",102
"Washington Township, Warren County",101
"Englewood, Bergen County",100
"Keansburg, Monmouth County",97
"Lower Township, Cape May County",97
"Beachwood, Ocean County",94
"Penns Grove, Salem County",93
"Fairlawn, Bergen County",93
"Robbinsville, Mercer County",93
"Franklin Township, Gloucester County",92
"Wharton, Morris County",91
"Highland Park, Middlesex County",89
"Burlington Town, Burlington County",89
"Middlesex, Middlesex County",87
"Barrington, Camden County",87
"Lumberton, Burlington County",87
"Wyckoff, Bergen County",86
"Stratford, Camden County",86
"Bradley Beach, Monmouth County",86
"Morris Township, Morris County",85
"Bernards, Somerset County",85
"Cinnaminson, Burlington County",85
"Sea Girt, Monmouth County",84
"Phillipsburg, Warren County",84
"Bergenfield, Bergen County",83
"Westhampton, Burlington County",82
"Westfield, Union County",82
"Newton, Sussex County",81
"Palmyra, Burlington County",81
"Woodland Park, Passaic County",81
"Livingston, Essex County",81
"Caldwell, Essex County",80
"Freehold, Monmouth County",78
"Lodi, Bergen County",78
"Holmdel, Monmouth County",78
"Old Bridge, Middlesex County",78
"Matawan, Monmouth County",77
"Guttenberg, Hudson County",76
"Glen Ridge, Essex County",76
"Green Brook, Somerset County",75
"Waterford, Camden County",74
"Montville, Morris County",73
"Carney_s Point, Salem County",73
"Ventnor City, Atlantic County",73
"Hawthorne, Passaic County",73
"Boonton, Morris County",72
"Manville, Somerset County",72
"Delran, Burlington County",72
"Vernon, Sussex County",72
"Cape May, Cape May County",71
"Fairview, Bergen County",71
"Jefferson, Morris County",71
"South Amboy, Middlesex County",71
"Princeton, Mercer County",69
"Mahwah, Bergen County",68
"Ocean Township, Ocean County",68
"Hanover, Morris County",68
"North Arlington, Bergen County",67
"Branchburg, Somerset County",66
"Westwood, Bergen County",66
"Denville, Morris County",66
"Flemington, Hunterdon County",65
"Clementon, Camden County",64
"Berlin Boro, Camden County",64
"Bellmawr, Camden County",64
"Rutherford, Bergen County",63
"Spotswood, Middlesex County",62
"Seaside Park, Ocean County",59
"Rochelle Park, Bergen County",59
"Highlands Boro, Monmouth County",59
"West Windsor, Mercer County",58
"Absecon, Atlantic County",58
"Westville, Gloucester County",58
"Clayton, Gloucester County",58
"Neptune City, Monmouth County",58
"Sea Bright, Monmouth County",57
"Ringwood, Passaic County",57
"Ocean Port, Monmouth County",57
"Somers Point, Atlantic County",57
"Wildwood Crest, Cape May County",55
"Weehawken, Hudson County",54
"Bogota, Bergen County",54
"Little Falls, Passaic County",54
"Hightstown, Mercer County",54
"Long Beach Township, Ocean County",53
"Florence, Burlington County",53
"Scotch Plains, Union County",53
"Woodlynne, Camden County",52
"Collingswood, Camden County",52
"Pequannock, Morris County",52
"Beverly, Burlington County",52
"Brooklawn, Camden County",52
"Raritan, Somerset County",51
"Bloomingdale, Passaic County",50
"Brigantine Beach, Atlantic County",49
"Stanhope, Sussex County",49
"South Boundbrook, Somerset County",48
"Deal, Monmouth County",48
"Maywood, Bergen County",48
"Buena Borough, Atlantic County",48
"Moorestown, Burlington County",48
"Lake Como Boro, Monmouth County",47
"Metuchen, Middlesex County",47
"Little Silver, Monmouth County",46
"Carlstadt, Bergen County",46
"Little Ferry, Bergen County",46
"South Toms River, Ocean County",45
"Rockaway Twp, Morris County",45
"Cedar Grove, Essex County",45
"Lakehurst, Ocean County",45
"Mount Ephraim, Camden County",45
"Greenwich, Gloucester County",45
"Egg Harbor City, Atlantic County",44
"Edgewater Park, Burlington County",43
"Clinton Township, Hunterdon County",43
"Mansfield, Warren County",43
"Springfield, Union County",41
"Medford, Burlington County",41
"Dumont, Bergen County",40
"Park Ridge, Bergen County",39
"Somerdale, Camden County",38
"Stone Harbor Borough, Cape May County",38
"West Long Branch, Monmouth County",37
"Berlin township, Camden County",37
"Summit, Union County",37
"Beach Haven, Ocean County",36
"Atlantic Highlands, Monmouth County",36
"Kenilworth, Union County",36
"Logan Township, Gloucester County",35
"New Milford, Bergen County",35
"Bordentown, Burlington County",35
"Prospect Park, Passaic County",35
"Haddon, Camden County",35
"Union Beach, Monmouth County",35
"Florham Park, Morris County",35
"Chatham boro, Morris County",34
"Watchung, Somerset County",34
"Warren Township, Somerset County",34
"Franklin Boro, Sussex County",33
"Fanwood, Union County",33
"Byram, Sussex County",33
"West Milford, Passaic County",33
"Woodstown, Salem County",32
"Lincoln Park, Morris County",32
"Montvale, Bergen County",32
"Raritan, Hunterdon County",31
"East Greenwich, Gloucester County",31
"East Rutherford, Bergen County",30
"Piscataway, Middlesex County",29
"Sparta, Sussex County",29
"Magnolia, Camden County",29
"Hasbrouck Heights, Bergen County",29
"Englishtown, Monmouth County",29
"Pitman, Gloucester County",29
"Cresskill, Bergen County",28
"Delanco, Burlington County",28
"Woodbury Heights, Gloucester County",28
"Shrewsbury, Monmouth County",28
"Pemberton Boro, Burlington County",27
"North Hanover, Burlington County",27
"Readington, Hunterdon County",26
"Washington, Bergen County",26
"Jamesburg, Middlesex County",26
"Tuckerton, Ocean County",26
"Linwood, Atlantic County",26
"Riverdale, Morris County",25
"New Providence, Union County",25
"North Haledon, Passaic County",25
"Keyport, Monmouth County",24
"Gibbsboro, Camden County",24
"Milltown, Middlesex County",24
"Oaklyn, Camden County",24
"Wanaque, Passaic County",24
"Glen Rock, Bergen County",23
"Helmetta, Middlesex County",23
"Hamburg, Sussex County",23
"Harding, Morris County",23
"Cranbury, Middlesex County",23
"Hardyston, Sussex County",23
"Bernardsville, Somerset County",23
"Garwood, Union County",23
"Margate, Atlantic County",22
"Netcong, Morris County",22
"Monmouth Beach, Monmouth County",22
"Butler, Morris County",22
"Lopatcong, Warren County",22
"Lambertville, Hunterdon County",21
"Verona, Essex County",21
"Pohatcong, Warren County",21
"Upper Saddle River, Bergen County",21
"Waldwick, Bergen County",21
"Mountainside, Union County",21
"Oakland, Bergen County",21
"Millburn, Essex County",21
"Palisades Park, Bergen County",20
"Englewood Cliffs, Bergen County",20
"Colts Neck, Monmouth County",20
"Franklin Lakes, Bergen County",20
"Kinnelon, Morris County",20
"Harrison Township, Gloucester County",20
"Haddon Heights, Camden County",19
"Tenafly, Bergen County",19
"Hackettstown, Warren County",18
"South Hackensack, Bergen County",18
"Washington, Morris County",18
"Morris Plains Boro, Morris County",18
"Merchantville, Camden County",18
"Chester Twp, Morris County",18
"Plumstead, Ocean County",18
"Spring Lake Boro, Monmouth County",17
"Hillsdale, Bergen County",17
"Avalon, Cape May County",16
"Spring Lake Heights, Monmouth County",16
"Haddonfield, Camden County",16
"Northfield City, Atlantic County",15
"East Hanover, Morris County",15
"Andover Township, Sussex County",15
"Ship Bottom, Ocean County",15
"Independence, Warren County",15
"Rumson, Monmouth County",14
"River Edge, Bergen County",14
"Mount Arlington, Morris County",14
"Leonia, Bergen County",14
"Mendham Boro, Morris County",14
"Lavallette, Ocean County",13
"High Bridge, Hunterdon County",13
"Closter, Bergen County",13
"Wenonah, Gloucester County",13
"Brielle, Monmouth County",13
"Mendham twp, Morris County",12
"Ho-Ho-Kus, Bergen County",12
"Wood-ridge, Bergen County",12
"Rockaway Boro, Morris County",12
"West Caldwell, Essex County",11
"Mullica, Atlantic County",11
"Saddle Brook, Bergen County",11
"Pine Beach, Ocean County",11
"Ocean Gate, Ocean County",11
"Delaware, Hunterdon County",11
"Harvey Cedars, Ocean County",10
"Allendale, Bergen County",10
"Longport, Atlantic County",10
"Bedminster, Somerset County",10
"Newfield, Gloucester County",9
"Medford Lakes, Burlington County",9
"Avon-By-the-Sea, Monmouth County",9
"Blairstown, Warren County",9
"Woolwich, Gloucester County",9
"Allenhurst, Monmouth County",9
"Peapack gladstone, Somerset County",9
"Fair Haven, Monmouth County",9
"Elk, Gloucester County",9
"Runnemede Boro, Camden County",9
"Greenwich, Warren County",8
"Old Tappan, Bergen County",8
"Lower Alloways Creek, Salem County",8
"Wallington, Bergen County",8
"Eastampton, Burlington County",7
"Belvidere, Warren County",7
"Allentown, Monmouth County",7
"Roseland, Essex County",7
"Island Heights, Ocean County",7
"Mansfield, Burlington County",7
"Laurel Springs, Camden County",7
"Berkeley Heights, Union County",7
"Emerson, Bergen County",6
"Boonton Township, Morris County",6
"West Amwell, Hunterdon County",6
"Midland Park, Bergen County",6
"Surf City, Ocean County",6
"Chesterfield, Burlington County",6
"Ridgefield, Bergen County",6
"Long Hill, Morris County",5
"North Caldwell, Essex County",5
"Ogdensburg, Sussex County",5
"Woodcliff Lake, Bergen County",5
"Bay Head, Ocean County",5
"River Vale, Bergen County",5
"Town of Clinton, Hunterdon County",4
"Lebanon, Hunterdon County",4
"Riverton, Burlington County",4
"Oradell, Bergen County",4
"Springfield, Burlington County",4
"Haworth, Bergen County",4
"Moonachie, Bergen County",4
"Totowa, Passaic County",4
"Audubon, Camden County",4
"Chesilhurst, Camden County",4
"Winfield, Union County",4
"Chatham Twp, Morris County",3
"Norwood, Bergen County",3
"Alpine, Bergen County",3
"Harrington Park, Bergen County",3
"West Wildwood, Cape May County",3
"Mountain Lakes, Morris County",2
"Saddle River, Bergen County",2
"Frenchtown, Hunterdon County",2
"East Newark, Hudson County",2
"Demarest, Bergen County",2
"Northvale, Bergen County",2
"Essex Fells, Essex County",1
"Mantoloking, Ocean County",1
"South Harrison, Gloucester County",1
"Montgomery, Somerset County",1
"Far Hills, Somerset County",1
"Pennington Boro, Mercer County",1